simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
750.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
750.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
915.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
965.0,1,dwell,EG-D,2B,0.0971,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1010.0,1,outbound,EG-D,2B,0.0971,0.00,0,—,OUTBOUND_START,""
1010.0,1,outbound,EG-D,2B,0.0971,0.00,0,—,DELAY_START,"jIdx=0"
1040.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1040.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1070.0,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1070.0,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1215.0,2,inbound,2A,2A,1.0003,0.00,5,—,DELAY_START,"jIdx=5"
1235.0,3,inbound,2B,2B,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
1240.0,2,dwell,EG-C,2A,0.0447,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1270.0,3,dwell,EG-C,2B,0.0741,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1270.0,1,outbound,EG-D,2B,1.0000,0.00,9,—,EXIT,"totalTrip=520.0s egressRoute=EG-D"
1285.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1285.0,2,outbound,EG-C,2A,0.0447,0.00,0,—,OUTBOUND_START,""
1285.0,2,outbound,EG-C,2A,0.0447,0.00,0,—,DELAY_START,"jIdx=0"
1285.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1315.0,3,outbound,EG-C,2B,0.0741,0.00,0,—,OUTBOUND_START,""
1315.0,3,outbound,EG-C,2B,0.0741,0.00,0,—,DELAY_START,"jIdx=0"
1345.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1345.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1410.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1410.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1445.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1445.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1450.0,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1485.0,8,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
