simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
1345.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1345.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1510.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1555.0,1,dwell,EG-C,2B,0.1036,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1600.0,1,outbound,EG-C,2B,0.1036,0.00,0,—,OUTBOUND_START,""
1600.0,1,outbound,EG-C,2B,0.1036,0.00,0,—,DELAY_START,"jIdx=0"
1605.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1605.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1630.0,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1630.0,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1780.0,2,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1785.0,3,inbound,2B,2B,0.9265,0.00,5,—,DELAY_START,"jIdx=5"
1805.0,2,dwell,EG-C,2A,0.0447,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1805.0,3,inbound,2B,2B,1.0003,0.00,6,—,DELAY_START,"jIdx=6"
1815.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1815.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1815.0,1,outbound,EG-C,2B,1.0000,0.00,7,—,EXIT,"totalTrip=470.0s egressRoute=EG-C"
1840.0,3,dwell,EG-B,2B,0.0742,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1850.0,2,outbound,EG-C,2A,0.0447,0.00,0,—,OUTBOUND_START,""
1850.0,2,outbound,EG-C,2A,0.0447,0.00,0,—,DELAY_START,"jIdx=0"
1865.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1865.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1885.0,3,outbound,EG-B,2B,0.0742,0.00,0,—,OUTBOUND_START,""
1885.0,3,outbound,EG-B,2B,0.0742,0.00,0,—,DELAY_START,"jIdx=0"
1920.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1920.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1950.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1950.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1980.0,8,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
1980.0,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1980.0,8,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2015.0,4,dwell,EG-A,2B,0.0945,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2060.0,9,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2060.0,4,outbound,EG-A,2B,0.0945,0.00,0,—,OUTBOUND_START,""
2060.0,4,outbound,EG-A,2B,0.0945,0.00,0,—,DELAY_START,"jIdx=0"
2060.0,9,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2080.0,5,inbound,1A,1A,1.0008,0.00,6,—,DELAY_START,"jIdx=6"
2085.0,6,inbound,2A,2A,0.9300,0.38,4,—,DELAY_START,"jIdx=4"
2090.0,2,outbound,EG-C,2A,1.0000,0.00,7,—,EXIT,"totalTrip=485.0s egressRoute=EG-C"
2100.0,5,dwell,EG-A,1A,0.0382,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2105.0,6,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
2110.0,3,outbound,EG-B,2B,1.0000,0.00,7,—,EXIT,"totalTrip=480.0s egressRoute=EG-B"
2115.0,7,inbound,2B,2B,1.0008,0.00,6,—,DELAY_START,"jIdx=6"
2120.0,10,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2120.0,10,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2140.0,6,dwell,EG-E,2A,0.0743,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2140.0,7,dwell,EG-C,2B,0.0447,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2145.0,5,outbound,EG-A,1A,0.0382,0.00,0,—,OUTBOUND_START,""
2145.0,5,outbound,EG-A,1A,0.0382,0.00,0,—,DELAY_START,"jIdx=0"
2150.0,11,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2150.0,11,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2185.0,6,outbound,EG-E,2A,0.0743,0.00,0,—,OUTBOUND_START,""
2185.0,6,outbound,EG-E,2A,0.0743,0.00,0,—,DELAY_START,"jIdx=0"
2185.0,7,outbound,EG-C,2B,0.0447,0.00,0,—,OUTBOUND_START,""
2185.0,7,outbound,EG-C,2B,0.0447,0.00,0,—,DELAY_START,"jIdx=0"
2210.0,12,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
2210.0,12,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2225.0,9,inbound,2B,2B,1.0000,0.00,6,—,DELAY_START,"jIdx=6"
2230.0,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2230.0,13,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2240.0,4,outbound,EG-A,2B,1.0000,0.00,8,—,EXIT,"totalTrip=425.0s egressRoute=EG-A"
2245.0,9,dwell,EG-A,2B,0.0382,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
