simTime,road,direction,total_cumulative,active,slowing,stopped
540.0,"Childrens Way",inbound,1,0,0,0
540.0,"Dreyersdal Road",inbound,1,1,0,0
620.0,"Childrens Way",inbound,1,0,0,0
620.0,"Christopher Road",inbound,1,0,0,0
620.0,"Vineyard Road",inbound,1,1,0,0
620.0,"Dreyersdal Road",inbound,1,0,0,0
700.0,"Childrens Way",inbound,1,0,0,0
700.0,"Christopher Road",inbound,1,0,0,0
700.0,"Vineyard Road",inbound,1,0,0,0
700.0,"Leyden Road",inbound,1,0,0,0
700.0,"Dreyersdal Road",inbound,1,0,0,0
700.0,"Tokai High School Internal Road",outbound,1,1,0,0
775.0,"Childrens Way",inbound,1,0,0,0
775.0,"Christopher Road",inbound,1,0,0,0
775.0,"Vineyard Road",inbound,1,0,0,0
775.0,"Leyden Road",inbound,1,0,0,0
775.0,"Dreyersdal Road",inbound,1,0,0,0
775.0,"Tokai High School Internal Road",inbound,1,0,0,0
775.0,"Tokai High School Internal Road",outbound,1,1,0,0
775.0,"Homestead Avenue",inbound,1,1,0,0
845.0,"Childrens Way",inbound,2,1,0,0
845.0,"Starke Road",inbound,1,1,0,0
845.0,"Christopher Road",inbound,1,0,0,0
845.0,"Ruskin Road",outbound,1,0,0,0
845.0,"Vineyard Road",inbound,1,0,0,0
845.0,"Vineyard Road",outbound,1,1,0,0
845.0,"Aristea Road",outbound,1,0,0,0
845.0,"Dante Road",outbound,1,0,0,0
845.0,"Leyden Road",inbound,1,0,0,0
845.0,"Dreyersdal Road",inbound,2,1,0,0
845.0,"Tokai High School Internal Road",inbound,1,0,0,0
845.0,"Tokai High School Internal Road",outbound,1,0,0,0
845.0,"Homestead Avenue",inbound,1,0,0,0
920.0,"Childrens Way",inbound,2,0,0,0
920.0,"Childrens Way",outbound,1,1,0,0
920.0,"Starke Road",inbound,1,0,0,0
920.0,"Starke Road",outbound,1,0,0,0
920.0,"Christopher Road",inbound,2,0,0,0
920.0,"Ruskin Road",outbound,1,0,0,0
920.0,"Vineyard Road",inbound,3,2,0,0
920.0,"Vineyard Road",outbound,1,0,0,0
920.0,"Aristea Road",outbound,1,0,0,0
920.0,"Dante Road",outbound,1,0,0,0
920.0,"Airlie Road",inbound,1,0,0,0
920.0,"Airlie Road",outbound,1,0,0,0
920.0,"Leyden Road",inbound,1,0,0,0
920.0,"Dreyersdal Road",inbound,2,0,0,0
920.0,"Tokai High School Internal Road",inbound,1,0,0,0
920.0,"Tokai High School Internal Road",outbound,1,0,0,0
920.0,"Homestead Avenue",inbound,1,0,0,0
1000.0,"Childrens Way",inbound,2,0,0,0
1000.0,"Childrens Way",outbound,1,0,0,0
1000.0,"Starke Road",inbound,1,0,0,0
1000.0,"Starke Road",outbound,1,0,0,0
1000.0,"Christopher Road",inbound,2,0,0,0
1000.0,"Ruskin Road",outbound,1,0,0,0
1000.0,"Vineyard Road",inbound,3,0,0,0
1000.0,"Vineyard Road",outbound,1,0,0,0
1000.0,"Aristea Road",outbound,1,0,0,0
1000.0,"Dante Road",outbound,1,0,0,0
1000.0,"Airlie Road",inbound,1,0,0,0
1000.0,"Airlie Road",outbound,1,0,0,0
1000.0,"Leyden Road",inbound,3,0,0,0
1000.0,"Dreyersdal Road",inbound,2,0,0,0
1000.0,"Tokai High School Internal Road",inbound,2,0,0,1
1000.0,"Tokai High School Internal Road",outbound,3,1,0,0
1000.0,"Homestead Avenue",inbound,1,0,0,0
1075.0,"Childrens Way",inbound,3,0,0,0
1075.0,"Childrens Way",outbound,1,0,0,0
1075.0,"Starke Road",inbound,1,0,0,0
1075.0,"Starke Road",outbound,1,0,0,0
1075.0,"Christopher Road",inbound,2,0,0,0
1075.0,"Ruskin Road",outbound,1,0,0,0
1075.0,"Vineyard Road",inbound,3,0,0,0
1075.0,"Vineyard Road",outbound,1,0,0,0
1075.0,"Aristea Road",outbound,2,1,0,0
1075.0,"Dante Road",outbound,1,0,0,0
1075.0,"Airlie Road",inbound,1,0,0,0
1075.0,"Airlie Road",outbound,1,0,0,0
1075.0,"Leyden Road",inbound,3,0,0,0
1075.0,"Dreyersdal Road",inbound,3,1,0,0
1075.0,"Tokai High School Internal Road",inbound,3,0,0,0
1075.0,"Tokai High School Internal Road",outbound,3,1,0,0
1075.0,"Homestead Avenue",inbound,1,0,0,0
1155.0,"Childrens Way",inbound,3,0,0,0
1155.0,"Childrens Way",outbound,1,0,0,0
1155.0,"Starke Road",inbound,1,0,0,0
1155.0,"Starke Road",outbound,2,1,0,0
1155.0,"Christopher Road",inbound,3,0,0,0
1155.0,"Ruskin Road",outbound,3,0,0,0
1155.0,"Vineyard Road",inbound,4,1,0,0
1155.0,"Vineyard Road",outbound,3,1,0,0
1155.0,"Aristea Road",outbound,3,0,0,0
1155.0,"Dante Road",outbound,3,0,0,0
1155.0,"Airlie Road",inbound,1,0,0,0
1155.0,"Airlie Road",outbound,2,0,0,0
1155.0,"Leyden Road",inbound,3,0,0,0
1155.0,"Dreyersdal Road",inbound,4,1,0,0
1155.0,"Tokai High School Internal Road",inbound,3,0,0,0
1155.0,"Tokai High School Internal Road",outbound,3,0,0,0
1155.0,"Homestead Avenue",inbound,2,1,0,0
1235.0,"Childrens Way",inbound,4,0,0,0
1235.0,"Childrens Way",outbound,2,0,0,0
1235.0,"Starke Road",inbound,1,0,0,0
1235.0,"Starke Road",outbound,3,1,0,0
1235.0,"Christopher Road",inbound,4,1,0,0
1235.0,"Christopher Road",outbound,1,0,0,0
1235.0,"Ruskin Road",outbound,3,0,0,0
1235.0,"Vineyard Road",inbound,5,1,0,0
1235.0,"Vineyard Road",outbound,3,0,0,0
1235.0,"Aristea Road",outbound,3,0,0,0
1235.0,"Dante Road",outbound,3,0,0,0
1235.0,"Airlie Road",inbound,1,0,0,0
1235.0,"Airlie Road",outbound,2,0,0,0
1235.0,"Leyden Road",inbound,4,0,0,0
1235.0,"Dreyersdal Road",inbound,7,4,0,0
1235.0,"Tokai High School Internal Road",inbound,4,0,0,1
1235.0,"Tokai High School Internal Road",outbound,4,0,0,0
1235.0,"Homestead Avenue",inbound,2,0,0,0
1310.0,"Childrens Way",inbound,4,0,0,0
1310.0,"Childrens Way",outbound,2,0,0,0
1310.0,"Starke Road",inbound,1,0,0,0
1310.0,"Starke Road",outbound,3,0,0,0
1310.0,"Christopher Road",inbound,6,0,0,0
1310.0,"Christopher Road",outbound,1,0,0,0
1310.0,"Ruskin Road",outbound,3,0,0,0
1310.0,"Vineyard Road",inbound,7,2,0,0
1310.0,"Vineyard Road",outbound,3,0,0,0
1310.0,"Aristea Road",outbound,4,1,0,0
1310.0,"Dante Road",outbound,3,0,0,0
1310.0,"Airlie Road",inbound,1,0,0,0
1310.0,"Airlie Road",outbound,2,0,0,0
1310.0,"Leyden Road",inbound,5,0,0,0
1310.0,"Dreyersdal Road",inbound,7,1,0,0
1310.0,"Tokai High School Internal Road",inbound,4,0,0,0
1310.0,"Tokai High School Internal Road",outbound,5,1,0,0
1310.0,"Homestead Avenue",inbound,2,0,0,0
1310.0,"Homestead Avenue",outbound,1,0,0,0
1380.0,"Childrens Way",inbound,5,0,0,0
1380.0,"Childrens Way",outbound,2,0,0,0
1380.0,"Starke Road",inbound,1,0,0,0
1380.0,"Starke Road",outbound,4,1,0,0
1380.0,"Christopher Road",inbound,6,0,0,0
1380.0,"Christopher Road",outbound,2,1,0,0
1380.0,"Ruskin Road",outbound,4,0,0,0
1380.0,"Vineyard Road",inbound,7,0,0,0
1380.0,"Vineyard Road",outbound,4,0,0,0
1380.0,"Aristea Road",outbound,4,0,0,0
1380.0,"Dante Road",outbound,4,0,0,0
1380.0,"Airlie Road",inbound,1,0,0,0
1380.0,"Airlie Road",outbound,2,0,0,0
1380.0,"Leyden Road",inbound,7,0,0,0
1380.0,"Dreyersdal Road",inbound,8,3,0,0
1380.0,"Tokai High School Internal Road",inbound,6,0,0,1
1380.0,"Tokai High School Internal Road",outbound,7,2,0,0
1380.0,"Homestead Avenue",inbound,2,0,0,0
1380.0,"Homestead Avenue",outbound,1,0,0,0
1455.0,"Childrens Way",inbound,5,0,0,0
1455.0,"Childrens Way",outbound,2,0,0,0
1455.0,"Starke Road",inbound,1,0,0,0
1455.0,"Starke Road",outbound,4,2,0,0
1455.0,"Christopher Road",inbound,8,0,0,0
1455.0,"Christopher Road",outbound,2,0,0,0
1455.0,"Ruskin Road",outbound,5,1,0,0
1455.0,"Vineyard Road",inbound,9,2,0,0
1455.0,"Vineyard Road",outbound,4,0,0,0
1455.0,"Aristea Road",outbound,6,1,0,0
1455.0,"Dante Road",outbound,5,1,0,0
1455.0,"Airlie Road",inbound,1,0,0,0
1455.0,"Airlie Road",outbound,2,0,0,0
1455.0,"Leyden Road",inbound,7,0,0,0
1455.0,"Dreyersdal Road",inbound,9,1,0,0
1455.0,"Tokai High School Internal Road",inbound,7,0,0,0
1455.0,"Tokai High School Internal Road",outbound,7,1,0,0
1455.0,"Homestead Avenue",inbound,3,0,0,0
1455.0,"Homestead Avenue",outbound,1,0,0,0
1530.0,"Childrens Way",inbound,6,0,0,0
1530.0,"Childrens Way",outbound,2,0,0,0
1530.0,"Starke Road",inbound,1,0,0,0
1530.0,"Starke Road",outbound,4,0,0,0
1530.0,"Christopher Road",inbound,9,2,0,0
1530.0,"Christopher Road",outbound,2,0,0,0
1530.0,"Ruskin Road",outbound,7,0,0,0
1530.0,"Vineyard Road",inbound,9,0,0,0
1530.0,"Vineyard Road",outbound,7,1,0,0
1530.0,"Aristea Road",outbound,7,0,0,0
1530.0,"Dante Road",outbound,7,1,0,0
1530.0,"Airlie Road",inbound,1,0,0,0
1530.0,"Airlie Road",outbound,4,1,0,0
1530.0,"Leyden Road",inbound,9,0,0,0
1530.0,"Dreyersdal Road",inbound,10,1,0,0
1530.0,"Dreyersdal Road",outbound,1,1,0,0
1530.0,"Firgrove Way Service Road",outbound,1,1,0,0
1530.0,"Tokai High School Internal Road",inbound,7,0,0,0
1530.0,"Tokai High School Internal Road",outbound,9,2,0,0
1530.0,"Homestead Avenue",inbound,3,0,0,0
1530.0,"Homestead Avenue",outbound,1,0,0,0
1605.0,"Childrens Way",inbound,7,0,0,0
1605.0,"Childrens Way",outbound,2,0,0,0
1605.0,"Starke Road",inbound,1,0,0,0
1605.0,"Starke Road",outbound,5,1,0,0
1605.0,"Christopher Road",inbound,10,0,0,0
1605.0,"Christopher Road",outbound,3,0,0,0
1605.0,"Ruskin Road",outbound,7,0,0,0
1605.0,"Vineyard Road",inbound,11,1,0,0
1605.0,"Vineyard Road",outbound,7,0,0,0
1605.0,"Aristea Road",outbound,7,0,0,0
1605.0,"Dante Road",outbound,7,0,0,0
1605.0,"Airlie Road",inbound,1,0,0,0
1605.0,"Airlie Road",outbound,4,0,0,0
1605.0,"Leyden Road",inbound,10,0,0,0
1605.0,"Dreyersdal Road",inbound,12,2,0,0
1605.0,"Dreyersdal Road",outbound,2,1,0,0
1605.0,"Firgrove Way Service Road",outbound,1,0,0,0
1605.0,"Tokai High School Internal Road",inbound,9,0,0,0
1605.0,"Tokai High School Internal Road",outbound,10,3,0,0
1605.0,"Homestead Avenue",inbound,3,0,0,0
1605.0,"Homestead Avenue",outbound,1,0,0,0
1680.0,"Childrens Way",inbound,8,1,0,0
1680.0,"Childrens Way",outbound,2,0,0,0
1680.0,"Starke Road",inbound,1,0,0,0
1680.0,"Starke Road",outbound,5,0,0,0
1680.0,"Christopher Road",inbound,12,2,0,0
1680.0,"Christopher Road",outbound,3,0,0,0
1680.0,"Ruskin Road",outbound,9,0,0,0
1680.0,"Vineyard Road",inbound,11,0,0,0
1680.0,"Vineyard Road",outbound,8,1,0,0
1680.0,"Aristea Road",outbound,9,0,0,0
1680.0,"Dante Road",outbound,9,1,0,0
1680.0,"Airlie Road",inbound,1,0,0,0
1680.0,"Airlie Road",outbound,4,0,0,0
1680.0,"Leyden Road",inbound,11,0,0,0
1680.0,"Dreyersdal Road",inbound,13,1,0,0
1680.0,"Dreyersdal Road",outbound,2,0,0,0
1680.0,"Firgrove Way Service Road",outbound,1,0,0,0
1680.0,"Tokai High School Internal Road",inbound,11,0,0,1
1680.0,"Tokai High School Internal Road",outbound,11,1,0,0
1680.0,"Homestead Avenue",inbound,4,0,0,0
1680.0,"Homestead Avenue",outbound,2,0,0,0
1755.0,"Childrens Way",inbound,8,0,0,0
1755.0,"Childrens Way",outbound,2,0,0,0
1755.0,"Tussendal Avenue",outbound,1,1,0,0
