simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
505.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
505.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
670.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
715.0,1,dwell,EG-D,2B,0.0850,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
760.0,1,outbound,EG-D,2B,0.0850,0.00,0,—,OUTBOUND_START,""
760.0,1,outbound,EG-D,2B,0.0850,0.00,0,—,DELAY_START,"jIdx=0"
775.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
775.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
805.0,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
805.0,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
950.0,2,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
970.0,3,inbound,2B,2B,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
990.0,2,dwell,EG-C,2A,0.0888,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
990.0,3,dwell,EG-E,2B,0.0301,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1020.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1020.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1035.0,2,outbound,EG-C,2A,0.0888,0.00,0,—,OUTBOUND_START,""
1035.0,2,outbound,EG-C,2A,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
1035.0,3,outbound,EG-E,2B,0.0301,0.00,0,—,OUTBOUND_START,""
1035.0,3,outbound,EG-E,2B,0.0301,0.00,0,—,DELAY_START,"jIdx=0"
1085.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1085.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
